,sex,age,dorm_select,college_of,personality,weekend_stay,weekday_stay,smoke,alchol,m_how_eat,how_eat_in,wake_up,m_sleep,sleep_sensitive,sleep_habit,clean_period,shower_timezone,w_age_range,w_diff_college_of,w_personality,w_weekend_stay,w_weekday_stay,w_smoke,w_alchol,w_how_eat,w_how_eat_in,w_wake_up,w_sleep,w_sleep_sensitive,w_sleep_habit,w_clean_period,w_shower_timezone,default_cluster,age_cluster,college_of_cluster,personality_cluster,weekend_stay_cluster,weekday_stay_cluster,smoke_cluster,alchol_cluster,m_how_eat_cluster,how_eat_in_cluster,wake_up_cluster,m_sleep_cluster,sleep_sensitive_cluster,sleep_habit_cluster,clean_period_cluster,shower_timezone_cluster
0,1,7,1,11,1,2,1,1,1,3,2,2,3,1,1,2,2,3,2,0,2,2,1,1,3,2,0,3,1,1,1,1,4,1,1,1,1,4,2,6,6,6,1,8,8,5,1,1
1,1,1,1,4,1,1,1,2,3,1,2,1,1,2,2,3,1,0,2,1,1,2,2,0,3,1,2,0,2,2,2,0,1,1,7,6,1,8,6,6,6,8,5,6,5,5,4,1
2,1,0,1,1,2,2,1,1,1,2,1,1,2,1,3,1,1,1,0,0,0,0,0,0,2,1,0,0,1,0,1,0,8,5,7,6,4,8,5,7,7,1,5,1,2,2,4,8
3,1,5,2,3,2,1,1,1,1,1,2,3,3,2,2,2,2,3,1,2,2,2,1,1,2,2,0,0,1,1,2,1,3,3,3,3,3,3,3,3,3,0,3,3,3,3,0,3
4,2,1,1,2,2,2,1,1,2,2,2,2,2,2,1,1,1,2,0,1,2,2,1,0,2,0,2,2,1,1,0,0,6,2,2,2,6,2,8,5,4,5,2,2,0,6,8,2
5,1,4,2,2,2,2,2,1,1,2,2,2,2,1,3,2,1,2,0,0,2,2,0,2,0,0,3,2,1,1,2,0,3,3,3,3,3,3,3,3,3,0,3,3,3,3,0,3
6,1,6,1,2,2,2,1,1,2,3,2,2,2,2,1,1,1,0,0,0,1,1,1,0,3,2,2,2,1,1,1,0,8,5,7,6,4,8,5,7,7,8,1,1,2,2,4,8
7,1,5,2,2,2,1,1,1,2,3,1,2,2,1,1,1,2,0,0,2,2,2,1,0,0,0,0,0,1,1,0,0,3,3,3,3,8,3,3,3,3,7,3,3,3,3,7,6
8,1,5,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,2,1,1,2,1,3,3,3,3,8,3,3,3,3,0,3,3,3,3,7,6
9,1,0,2,12,2,1,1,1,2,3,2,3,3,1,1,2,1,1,2,1,2,2,1,2,2,2,0,3,1,1,2,1,3,3,3,3,3,3,3,3,3,0,3,3,3,3,0,3
10,2,0,1,2,2,1,1,1,1,3,2,2,3,1,1,3,1,1,0,1,2,2,1,0,0,2,0,0,1,0,0,0,6,7,2,2,6,7,8,0,4,3,2,7,6,6,8,7
11,1,6,1,2,2,1,1,1,2,1,2,2,3,1,1,1,1,0,0,0,0,0,1,2,0,0,0,2,1,0,2,2,8,5,7,1,4,8,5,7,7,8,1,8,2,2,4,8
12,1,7,2,10,2,1,1,1,1,1,1,2,2,1,3,2,2,4,1,0,2,2,1,1,2,1,4,3,1,1,2,1,3,3,3,3,3,3,3,3,3,7,3,3,3,3,0,3
13,1,5,2,12,2,1,2,1,2,2,1,2,2,1,1,2,1,3,2,2,2,2,1,1,2,1,4,2,1,1,2,2,3,3,3,3,3,3,3,3,3,7,3,3,3,3,0,3
14,1,6,2,2,2,2,2,1,1,2,2,1,2,2,3,2,1,0,1,0,0,0,1,1,0,0,0,0,1,1,3,2,3,3,3,3,3,3,3,3,3,0,3,3,3,3,0,3
15,1,5,1,2,2,1,1,1,1,2,2,3,3,1,3,2,2,0,1,2,2,2,1,1,0,2,3,2,1,1,2,2,4,1,1,1,1,4,2,6,6,6,6,8,8,5,1,1
16,2,0,1,2,2,2,1,1,2,3,2,3,3,2,1,2,1,1,2,2,0,0,1,2,3,0,3,3,1,1,2,0,2,7,4,5,2,7,0,0,0,3,7,7,0,0,3,7
17,1,5,1,2,1,1,1,1,1,2,2,2,3,1,2,2,1,0,0,0,0,0,0,0,0,0,2,0,1,0,2,1,4,1,1,1,1,4,2,6,6,6,1,8,8,5,1,1
18,1,5,1,2,1,2,2,2,2,2,1,2,2,1,3,2,2,0,0,1,2,2,2,2,0,0,0,2,1,1,0,2,1,6,1,8,1,1,6,2,2,1,1,1,8,8,1,1
19,1,5,1,3,1,1,2,2,2,2,2,1,2,1,2,1,1,3,2,1,2,2,1,2,3,2,1,2,1,0,1,0,8,5,7,6,4,8,6,7,7,8,5,1,2,2,4,8
20,1,7,1,2,2,2,2,1,1,2,2,2,2,1,2,1,1,0,0,0,0,0,1,0,0,0,0,2,0,1,2,1,8,5,7,6,4,8,5,7,7,8,1,1,2,2,4,8
21,2,5,1,3,1,2,1,1,1,3,2,2,2,1,3,2,2,0,0,2,0,0,1,2,0,0,0,0,1,1,2,0,2,2,4,5,2,2,0,5,0,3,2,2,0,0,3,2
22,1,5,2,3,2,2,2,2,2,2,2,1,1,1,2,2,1,3,2,1,2,2,2,2,2,2,1,1,1,0,2,0,3,3,3,3,3,3,3,3,3,0,3,3,3,3,0,3
23,1,0,1,8,2,1,1,1,1,2,2,3,3,1,1,2,2,1,2,1,1,1,1,1,0,2,3,3,0,1,2,0,4,1,1,1,1,4,2,6,6,6,6,8,8,5,1,1
24,2,5,1,2,1,2,1,1,1,1,1,1,2,1,2,1,2,3,0,0,2,2,1,1,0,0,0,2,1,0,0,0,6,2,2,2,6,2,8,5,4,5,7,2,0,6,8,2
25,1,5,1,4,2,1,1,1,1,3,1,1,2,1,3,2,1,3,0,2,2,0,1,0,0,0,1,2,1,2,2,0,1,6,1,8,1,1,2,2,2,1,5,1,8,8,1,1
26,2,5,1,10,2,2,2,1,1,2,1,2,1,1,3,1,2,4,1,2,2,2,1,1,2,1,2,2,1,1,1,2,6,2,2,2,6,2,8,5,4,5,2,7,6,6,8,2
27,1,6,1,11,2,1,1,1,1,2,2,2,2,1,3,2,1,0,0,0,0,0,1,1,0,2,2,2,1,0,0,1,1,6,1,8,1,1,2,2,2,6,1,1,8,8,1,1
28,1,7,2,12,1,2,2,2,2,1,2,1,1,1,1,1,2,0,0,1,0,0,2,2,0,2,0,0,0,0,2,1,3,3,3,3,8,3,3,3,3,0,3,3,3,3,7,6
29,1,5,2,12,2,2,2,1,1,2,2,2,2,1,3,2,1,0,0,0,0,0,1,1,2,2,2,2,1,1,2,0,3,3,3,3,3,3,3,3,3,0,3,3,3,3,0,3
30,2,5,2,9,2,1,1,1,2,1,2,1,2,1,3,1,2,0,1,2,0,0,1,0,0,0,1,2,1,1,1,0,7,8,0,0,5,6,4,4,8,2,8,4,7,7,2,4
31,2,5,1,10,2,1,2,1,1,1,1,2,2,1,3,2,2,3,0,0,2,0,1,0,0,0,0,0,1,0,2,0,2,2,4,5,2,2,0,5,0,5,2,2,0,0,3,2
32,2,7,2,4,1,2,2,1,2,2,2,3,2,1,3,2,2,0,0,0,2,2,1,1,0,2,3,2,0,0,2,0,5,0,6,4,7,5,1,1,1,4,0,5,1,1,5,5
33,2,3,2,10,1,1,1,1,1,1,2,3,3,2,3,1,1,2,0,0,0,0,1,1,0,2,3,2,1,1,1,0,0,4,8,7,0,0,7,8,5,2,4,0,4,4,2,0
34,2,5,2,4,2,1,2,1,1,2,1,2,2,2,1,2,1,3,0,2,2,0,1,0,2,2,2,2,0,1,2,0,5,0,6,4,7,5,1,1,1,4,0,5,1,1,5,5
35,1,7,2,3,2,2,2,1,1,2,2,1,2,2,1,2,1,0,0,0,2,2,0,0,3,2,1,3,0,1,3,2,3,3,3,3,3,3,3,3,3,0,3,3,3,3,0,3
36,2,3,2,10,2,2,1,1,1,1,2,2,1,1,3,1,1,0,2,2,0,0,1,2,0,2,0,0,1,0,0,0,0,8,0,0,5,6,7,4,5,2,0,0,7,7,2,0
37,1,5,1,11,2,1,2,2,1,2,2,3,2,2,3,1,2,0,0,0,0,0,0,1,0,2,3,2,0,1,1,0,8,5,7,6,4,8,6,7,7,8,6,1,2,2,4,8
38,2,4,1,4,1,1,2,2,2,2,2,2,3,1,3,3,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,6,7,2,2,6,7,8,0,4,3,2,7,6,6,8,7
39,1,6,1,2,2,1,1,1,1,3,2,1,2,1,3,2,2,4,2,0,0,0,0,0,0,2,2,0,1,0,2,0,1,6,1,8,1,1,2,2,2,6,5,1,8,8,1,1
40,2,4,1,4,1,1,1,1,1,1,2,3,2,2,1,2,2,3,0,0,0,1,1,1,0,2,3,2,1,1,2,0,2,2,4,5,2,2,0,5,0,3,7,2,0,0,3,2
41,1,5,1,2,2,2,2,1,2,2,1,3,3,2,2,3,2,0,0,0,0,2,1,0,0,0,3,3,1,1,3,2,4,1,7,1,4,4,5,6,6,1,6,8,5,5,4,1
42,2,8,2,12,2,2,1,1,1,2,2,1,2,1,1,1,1,0,0,0,2,2,1,2,0,2,0,2,1,1,1,0,7,8,0,0,5,6,4,4,8,2,8,4,7,7,2,4
43,1,7,2,2,2,1,1,1,2,2,1,3,2,1,2,2,1,0,0,2,2,2,1,0,2,1,0,0,1,0,2,0,3,3,3,3,3,3,3,3,3,7,3,3,3,3,0,3
44,2,5,1,3,2,2,2,1,1,3,2,2,2,2,1,3,2,4,0,0,2,2,1,2,0,0,2,2,0,1,3,2,6,2,2,2,6,2,8,5,4,3,2,2,0,6,8,2
45,1,7,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,0,2,0,0,0,1,1,0,2,2,2,1,1,1,0,3,3,3,3,8,3,3,3,3,0,3,3,3,3,7,6
46,2,3,1,4,2,2,2,1,1,2,2,1,1,2,3,2,2,3,0,0,0,0,1,1,0,2,0,1,1,1,2,0,2,2,4,5,2,2,0,5,0,3,7,7,0,0,3,2
47,2,0,2,8,1,1,1,1,1,2,2,1,2,1,2,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,2,2,5,0,6,4,7,5,1,1,1,4,8,5,1,1,5,5
48,1,5,2,7,2,1,1,1,1,2,2,2,2,1,1,2,2,0,0,1,0,0,1,1,0,2,2,2,1,0,2,0,3,3,3,3,3,3,3,3,3,0,3,3,3,3,0,3
49,2,7,2,4,1,2,1,1,1,1,2,3,2,2,1,2,2,4,0,0,0,2,1,1,0,0,2,2,1,1,2,1,5,0,6,4,7,5,1,1,1,4,0,5,1,1,5,5
50,1,4,2,7,2,2,2,1,1,2,2,1,2,2,1,1,2,2,2,0,1,1,1,1,0,2,2,0,1,1,2,0,3,3,3,3,8,3,3,3,3,0,3,3,3,3,7,6
51,1,5,2,11,2,2,2,1,1,2,2,2,2,2,1,2,1,3,1,2,2,2,1,1,0,0,2,2,2,1,0,0,3,3,3,3,3,3,3,3,3,0,3,3,3,3,0,3
52,2,5,1,3,1,2,2,1,1,2,2,2,2,2,3,2,2,3,0,1,0,0,1,0,0,2,2,2,1,1,2,1,2,2,4,5,2,2,0,5,0,3,2,2,0,0,3,2
53,2,1,2,2,1,2,2,2,2,2,1,2,3,1,1,2,2,1,1,1,1,2,0,1,2,1,3,1,1,1,3,1,0,4,8,7,0,0,1,8,5,4,4,0,4,4,5,0
54,2,7,2,10,2,2,2,1,2,2,1,1,2,1,1,1,1,4,0,0,2,2,1,0,0,0,1,2,1,1,0,2,7,8,0,0,5,6,4,4,8,2,8,4,7,7,2,4
55,2,7,1,4,2,1,1,1,1,2,1,3,3,1,1,1,2,3,2,0,2,2,1,1,0,0,0,0,1,1,2,1,6,7,2,2,6,7,8,0,4,5,7,7,6,6,8,7
56,1,7,1,2,2,1,1,1,1,1,1,3,3,1,2,1,1,4,0,1,0,0,1,0,0,0,0,0,1,1,0,0,8,5,7,1,4,8,5,7,7,1,6,8,2,2,4,8
